# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Jan  7 16:11:34 2022
# Spectral unit: Frequency[cm-1]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.309821852e+03 9.26042e-01 9.99817e-01 1.00000e+00 1.00000e+00 9.26526e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309819233e+03 9.44545e-01 9.99577e-01 1.00000e+00 1.00000e+00 9.45266e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309816613e+03 9.56273e-01 9.99616e-01 1.00000e+00 1.00000e+00 9.56964e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309813993e+03 9.64456e-01 9.99835e-01 1.00000e+00 1.00000e+00 9.64942e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309811374e+03 9.70290e-01 9.99907e-01 1.00000e+00 1.00000e+00 9.70710e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309808754e+03 9.74667e-01 9.99937e-01 1.00000e+00 1.00000e+00 9.75059e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309806135e+03 9.78069e-01 9.99953e-01 1.00000e+00 1.00000e+00 9.78445e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309803515e+03 9.80779e-01 9.99963e-01 1.00000e+00 1.00000e+00 9.81147e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309800895e+03 9.82981e-01 9.99969e-01 1.00000e+00 1.00000e+00 9.83344e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309798276e+03 9.84796e-01 9.99973e-01 1.00000e+00 1.00000e+00 9.85156e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309795656e+03 9.86304e-01 9.99976e-01 1.00000e+00 1.00000e+00 9.86662e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309793037e+03 9.87530e-01 9.99977e-01 1.00000e+00 1.00000e+00 9.87887e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309790417e+03 9.88615e-01 9.99978e-01 1.00000e+00 1.00000e+00 9.88972e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309787797e+03 9.89649e-01 9.99978e-01 1.00000e+00 1.00000e+00 9.90006e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309785178e+03 9.90500e-01 9.99977e-01 1.00000e+00 1.00000e+00 9.90859e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309782558e+03 9.91233e-01 9.99975e-01 1.00000e+00 1.00000e+00 9.91594e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309779939e+03 9.91873e-01 9.99972e-01 1.00000e+00 1.00000e+00 9.92237e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309777319e+03 9.92433e-01 9.99965e-01 1.00000e+00 1.00000e+00 9.92804e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309774700e+03 9.92921e-01 9.99949e-01 1.00000e+00 1.00000e+00 9.93308e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309772080e+03 9.93349e-01 9.99930e-01 1.00000e+00 1.00000e+00 9.93755e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309769461e+03 9.93764e-01 9.99947e-01 1.00000e+00 1.00000e+00 9.94154e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309766841e+03 9.94132e-01 9.99963e-01 1.00000e+00 1.00000e+00 9.94506e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
